survey	data_release	source_name	schema_key
GALAH	Data Release 3	140305001801214	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140305001801290	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140305001801312	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140305001801316	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140305001801366	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140305001801394	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701059	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701118	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701176	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701182	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701201	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701203	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701204	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701206	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701207	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701208	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701210	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701211	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701215	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701218	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701220	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701221	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701223	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701226	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701228	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701230	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701236	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701237	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140309004701248	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140305003201099	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140312001701359	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140312002701135	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140312002701137	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140312002701168	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140312002701371	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140312002701377	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140312002701378	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140310004301146	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140310004301190	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140310004301191	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140310004301192	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140310004301274	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140310004701014	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140310004701040	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140310004701166	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140310004701178	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140310004701187	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140310004701193	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140310004701196	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140310004701197	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140313003601280	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140313004101153	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140313004101196	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140313004401006	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201005	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201011	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201019	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201036	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201045	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201057	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201073	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201120	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201129	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201151	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201163	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201177	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201210	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140311008701059	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314003201105	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201228	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201231	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314003201137	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140311008701118	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201259	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140311008701134	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201279	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201291	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314003201255	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201353	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140311008701294	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140316004201389	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314003201378	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314004001105	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314004001153	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314005201005	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314005201011	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314005201019	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314005201036	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314005201045	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314005201057	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314005201073	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314005201120	galah.dr3.spectra.hermes.spectrum_1d
GALAH	Data Release 3	140314005201151	galah.dr3.spectra.hermes.spectrum_1d
